normalized_alias,raw_alias,project_entity_id,alias_kind,weight,search_only,conflict_flag
雅居乐天空公馆,雅居乐天空公馆,project:agile-sky-residence,EXACT_PROJECT_NAME,100,False,False
agileskyresidence,Agile Sky Residence,project:agile-sky-residence,EXACT_PROJECT_NAME,100,False,False
bkk1雅居乐,BKK1雅居乐,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
bkk雅居乐,BKK雅居乐,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
莫尼旺雅居乐,莫尼旺雅居乐,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
雅居乐,雅居乐,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
雅居乐天空公馆,雅居乐天空公馆,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
agileskyresidence,Agile Sky Residence,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
bkk3雅居乐,BKK3雅居乐,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False
bkkmansion,BKK Mansion,project:bkk-mansion,EXACT_PROJECT_NAME,100,False,False
bkk,BKK,project:bkk-mansion,STRONG_PROJECT_ALIAS,95,True,False
bkkmansion,BKK Mansion,project:bkk-mansion,STRONG_PROJECT_ALIAS,95,True,False
casabymeridian,CASA by Meridian,project:casa-meridian,EXACT_PROJECT_NAME,100,False,False
钻石岛,钻石岛,project:casa-meridian,STRONG_PROJECT_ALIAS,95,True,True
casameridian,CASA Meridian,project:casa-meridian,STRONG_PROJECT_ALIAS,95,True,False
chieftower,Chief Tower,project:chief-tower,EXACT_PROJECT_NAME,100,False,False
chieftower,Chief Tower,project:chief-tower,STRONG_PROJECT_ALIAS,95,True,False
decastleroyal,De Castle Royal,project:de-castle-royal,EXACT_PROJECT_NAME,100,False,False
"德城堡,decastleroyal","德城堡,De Castle Royal",project:de-castle-royal,STRONG_PROJECT_ALIAS,95,True,False
钻石湾花园,钻石湾花园,project:diamond-bay-garden,EXACT_PROJECT_NAME,100,False,False
diamondbaygarden,Diamond Bay Garden,project:diamond-bay-garden,EXACT_PROJECT_NAME,100,False,False
钻石岛,钻石岛,project:diamond-bay-garden,STRONG_PROJECT_ALIAS,95,True,True
diamondbaygarden,Diamond Bay Garden,project:diamond-bay-garden,STRONG_PROJECT_ALIAS,95,True,False
钻石名邸,钻石名邸,project:diamond-mansion,EXACT_PROJECT_NAME,100,False,False
